driver,spec,month,kind,n_files,n_lines,delta_files,delta_lines,commit
NODE,auth,2018-12,intro,2,818,2,818,3f4d0616
NODE,server-discovery-and-monitoring,2018-12,intro,138,9493,138,9493,3f4d0616
NODE,server-discovery-and-monitoring,2020-06,phase,348,28410,158,16061,e11e573e
NODE,uri-options,2019-03,intro,16,1126,16,1126,75ef350c
NODE,client-side-encryption,2019-08,intro,58,13750,58,13750,b542d348
NODE,client-side-encryption,2019-11,phase,68,24459,10,10709,8fe456bc
NODE,client-side-encryption,2023-01,phase,234,117616,93,59375,14143939
NODE,retryable-reads,2019-08,intro,84,22739,84,22739,b542d348
NODE,retryable-reads,2024-07,phase,90,40388,0,14094,54efb7d4
NODE,sessions,2019-08,intro,2,795,2,795,b542d348
NODE,sessions,2021-07,phase,10,3492,8,2697,a9c0de80
NODE,connection-monitoring-and-pooling,2019-12,intro,38,1742,38,1742,6ba409a9
NODE,connection-monitoring-and-pooling,2022-05,phase,52,2869,14,1106,4501a1ce
NODE,read-write-concern,2020-02,intro,12,1748,12,1748,69d10ba5
NODE,atlas-data-lake-testing,2020-10,intro,14,429,14,429,b4ec3ed7
NODE,unified-test-format,2021-01,intro,294,11060,294,11060,19ba74a5
NODE,versioned-api,2021-03,intro,8,3638,8,3638,d5956346
NODE,collection-management,2021-07,intro,2,384,2,384,a9c0de80
NODE,collection-management,2022-05,phase,8,1121,6,737,4501a1ce
NODE,load-balancers,2021-07,intro,16,5599,16,5599,a9c0de80
NODE,transactions-convenient-api,2022-02,intro,18,5691,18,5691,7420e8d3
NODE,command-logging-and-monitoring,2022-12,intro,44,8361,44,8361,b4e63fb5
NODE,faas-automated-testing,2023-04,intro,2,125,2,125,ce8e69b6
NODE,run-command,2023-04,intro,2,718,2,718,ce8e69b6
NODE,run-command,2023-05,phase,4,2222,2,1504,f98f26ca
NODE,client-side-operations-timeout,2023-05,intro,2,887,2,887,f98f26ca
NODE,client-side-operations-timeout,2024-01,phase,54,61446,52,60559,9401d09a
NODE,index-management,2023-05,intro,10,909,10,909,f98f26ca
NODE,mongodb-handshake,2025-07,intro,2,158,2,158,be7f808c
NODE,client-backpressure,2026-02,intro,6,9664,6,9664,4dbcb887
PERL,command-monitoring,2014-09,intro,34,1578,34,1578,0f79bd84
PERL,server-discovery-and-monitoring,2014-11,intro,74,3284,74,3284,513dd2bf
PERL,server-selection,2015-01,intro,66,3130,66,3130,63a750ea
PERL,crud,2015-03,intro,28,2883,28,2883,54b658cd
PERL,crud,2016-11,phase,58,3972,30,1089,04bb7829
PERL,crud,2019-02,phase,152,13466,76,6760,e4d2f711
PERL,gridfs,2015-12,intro,3,1139,3,1139,f6125896
PERL,max-staleness,2016-07,intro,58,2901,58,2901,a84ecf62
PERL,connection-string,2016-08,intro,14,2397,14,2397,c7874059
