month,spec,n_files,n_lines,commit
2019-08,change-streams,2,610,c08e1be3
2019-08,client-side-encryption,29,3087,c08e1be3
2019-08,command-monitoring,10,802,c08e1be3
2019-08,connection-monitoring-and-pooling,19,574,c08e1be3
2019-08,connection-string,8,1194,c08e1be3
2019-08,crud,40,2589,c08e1be3
2019-08,gridfs,4,620,c08e1be3
2019-08,initial-dns-seedlist-discovery,26,201,c08e1be3
2019-08,max-staleness,35,1083,c08e1be3
2019-08,read-write-concern,4,245,c08e1be3
2019-08,retryable-reads,42,4441,c08e1be3
2019-08,retryable-writes,20,1934,c08e1be3
2019-08,server-discovery-and-monitoring,77,5072,c08e1be3
2019-08,server-selection,48,960,c08e1be3
2019-08,sessions,1,272,c08e1be3
2019-08,transactions,27,12849,c08e1be3
2019-08,transactions-convenient-api,9,1910,c08e1be3
2019-08,uri-options,8,509,c08e1be3
2019-09,auth,1,301,ee170d97
2019-09,change-streams,2,610,ee170d97
2019-09,client-side-encryption,29,3087,ee170d97
2019-09,command-monitoring,10,802,ee170d97
2019-09,connection-monitoring-and-pooling,19,649,ee170d97
2019-09,connection-string,8,1194,ee170d97
2019-09,crud,40,2589,ee170d97
2019-09,gridfs,4,620,ee170d97
2019-09,initial-dns-seedlist-discovery,26,201,ee170d97
2019-09,max-staleness,35,1083,ee170d97
2019-09,read-write-concern,4,245,ee170d97
2019-09,retryable-reads,42,4441,ee170d97
2019-09,retryable-writes,20,1934,ee170d97
2019-09,server-discovery-and-monitoring,77,5072,ee170d97
2019-09,server-selection,48,960,ee170d97
2019-09,sessions,1,272,ee170d97
2019-09,transactions,28,12837,ee170d97
2019-09,transactions-convenient-api,9,1910,ee170d97
2019-09,uri-options,8,509,ee170d97
2019-10,auth,1,301,d49015c0
2019-10,change-streams,2,610,d49015c0
2019-10,client-side-encryption,29,3061,d49015c0
2019-10,command-monitoring,10,802,d49015c0
2019-10,connection-monitoring-and-pooling,19,649,d49015c0
2019-10,connection-string,8,1194,d49015c0
2019-10,crud,44,2945,d49015c0
2019-10,gridfs,4,620,d49015c0
2019-10,initial-dns-seedlist-discovery,26,201,d49015c0
2019-10,max-staleness,35,1083,d49015c0
2019-10,read-write-concern,4,245,d49015c0
2019-10,retryable-reads,42,4441,d49015c0
2019-10,retryable-writes,20,1934,d49015c0
2019-10,server-discovery-and-monitoring,78,5145,d49015c0
2019-10,server-selection,48,960,d49015c0
2019-10,sessions,1,272,d49015c0
2019-10,transactions,28,12837,d49015c0
2019-10,transactions-convenient-api,9,1910,d49015c0
2019-10,uri-options,8,517,d49015c0
2019-11,auth,1,301,0085c4b3
2019-11,change-streams,2,610,0085c4b3
2019-11,client-side-encryption,29,3061,0085c4b3
2019-11,command-monitoring,10,802,0085c4b3
2019-11,connection-monitoring-and-pooling,19,649,0085c4b3
2019-11,connection-string,8,1194,0085c4b3
2019-11,crud,44,2945,0085c4b3
2019-11,gridfs,4,620,0085c4b3
2019-11,initial-dns-seedlist-discovery,26,201,0085c4b3
2019-11,max-staleness,35,1083,0085c4b3
2019-11,read-write-concern,4,245,0085c4b3
2019-11,retryable-reads,42,4441,0085c4b3
2019-11,retryable-writes,29,2628,0085c4b3
2019-11,server-discovery-and-monitoring,78,5145,0085c4b3
2019-11,server-selection,48,960,0085c4b3
2019-11,sessions,1,440,0085c4b3
2019-11,transactions,30,13095,0085c4b3
2019-11,transactions-convenient-api,9,1910,0085c4b3
2019-11,uri-options,8,517,0085c4b3
2019-12,auth,1,301,e752bb34
2019-12,change-streams,2,610,e752bb34
2019-12,client-side-encryption,29,3061,e752bb34
2019-12,command-monitoring,10,802,e752bb34
2019-12,connection-monitoring-and-pooling,19,649,e752bb34
2019-12,connection-string,8,1194,e752bb34
2019-12,crud,44,2945,e752bb34
2019-12,gridfs,4,620,e752bb34
2019-12,initial-dns-seedlist-discovery,26,201,e752bb34
2019-12,max-staleness,35,1083,e752bb34
2019-12,read-write-concern,4,245,e752bb34
2019-12,retryable-reads,42,4441,e752bb34
2019-12,retryable-writes,29,2628,e752bb34
